scale,site_id,plant,roi_id,roi_type,primary_roi_id,ndvi,date
1,P9,grass,14-1-4,subset,14,0.1750301718711853,2019-04-18
2,P9,grass,14-2-1,subset,14,0.15490765869617462,2019-04-18
2,P9,grass,14-2-2,subset,14,0.15725348889827728,2019-04-18
2,P9,grass,14-2-3,subset,14,0.160731703042984,2019-04-18
0.5,P9,grass,15-0.5-1,subset,15,0.14309364557266235,2019-04-18
0.5,P9,grass,15-0.5-2,subset,15,0.14618900418281555,2019-04-18
0.5,P9,grass,15-0.5-3,subset,15,0.1283930540084839,2019-04-18
0.5,P9,grass,15-0.5-4,subset,15,0.1639259159564972,2019-04-18
0.5,P9,grass,15-0.5-5,subset,15,0.12927347421646118,2019-04-18
0.5,P9,grass,15-0.5-6,subset,15,0.1410936564207077,2019-04-18
0.5,P9,grass,15-0.5-7,subset,15,0.16667956113815308,2019-04-18
0.5,P9,grass,15-0.5-8,subset,15,0.1255522221326828,2019-04-18
1,P9,grass,15-1-1,subset,15,0.12445295602083206,2019-04-18
1,P9,grass,15-1-2,subset,15,0.12539997696876526,2019-04-18
1,P9,grass,15-1-3,subset,15,0.13693340122699738,2019-04-18
1,P9,grass,15-1-4,subset,15,0.13837072253227234,2019-04-18
2,P9,grass,15-2-1,subset,15,0.1398969441652298,2019-04-18
2,P9,grass,15-2-2,subset,15,0.1254698932170868,2019-04-18
2,P9,grass,15-2-3,subset,15,0.1243634819984436,2019-04-18
0.5,P9,grass,16-0.5-1,subset,16,0.12241307646036148,2019-04-18
0.5,P9,grass,16-0.5-2,subset,16,0.1225164383649826,2019-04-18
0.5,P9,grass,16-0.5-3,subset,16,0.13410237431526184,2019-04-18
0.5,P9,grass,16-0.5-4,subset,16,0.10441964864730835,2019-04-18
0.5,P9,grass,16-0.5-5,subset,16,0.1448911875486374,2019-04-18
0.5,P9,grass,16-0.5-6,subset,16,0.11230431497097015,2019-04-18
0.5,P9,grass,16-0.5-7,subset,16,0.1203947365283966,2019-04-18
0.5,P9,grass,16-0.5-8,subset,16,0.1502028852701187,2019-04-18
1,P9,grass,16-1-1,subset,16,0.1251850724220276,2019-04-18
1,P9,grass,16-1-2,subset,16,0.14102302491664886,2019-04-18
1,P9,grass,16-1-3,subset,16,0.12274932116270065,2019-04-18
1,P9,grass,16-1-4,subset,16,0.13339880108833313,2019-04-18
2,P9,grass,16-2-1,subset,16,0.13326336443424225,2019-04-18
2,P9,grass,16-2-2,subset,16,0.13096952438354492,2019-04-18
2,P9,grass,16-2-3,subset,16,0.1223272904753685,2019-04-18
0.5,P9,grass,17-0.5-1,subset,17,0.1676536351442337,2019-04-18
0.5,P9,grass,17-0.5-2,subset,17,0.13299967348575592,2019-04-18
0.5,P9,grass,17-0.5-3,subset,17,0.15808820724487305,2019-04-18
0.5,P9,grass,17-0.5-4,subset,17,0.14639131724834442,2019-04-18
0.5,P9,grass,17-0.5-5,subset,17,0.13958439230918884,2019-04-18
0.5,P9,grass,17-0.5-6,subset,17,0.14102144539356232,2019-04-18
0.5,P9,grass,17-0.5-7,subset,17,0.1519649177789688,2019-04-18
0.5,P9,grass,17-0.5-8,subset,17,0.14123374223709106,2019-04-18
1,P9,grass,17-1-1,subset,17,0.14778219163417816,2019-04-18
1,P9,grass,17-1-2,subset,17,0.15469332039356232,2019-04-18
1,P9,grass,17-1-3,subset,17,0.15194526314735413,2019-04-18
1,P9,grass,17-1-4,subset,17,0.14710751175880432,2019-04-18
